NUM_TOMBO | SEQUENCIA | FOTO | DESCRICAO | COD_BARRA | NUM_BARRA
18324.0 | 1 | None | None | HCF000000406 | 406.0
64.0 | 1 | None | None | HCF000000407 | 407.0
696.0 | 1 | None | None | HCF000000408 | 408.0
2338.0 | 1 | None | None | HCF000000409 | 409.0
4202.0 | 1 | None | None | HCF000000410 | 410.0
4750.0 | 1 | None | None | HCF000000411 | 411.0
7809.0 | 1 | None | None | HCF000000412 | 412.0
8497.0 | 1 | None | None | HCF000000413 | 413.0
9615.0 | 1 | None | None | HCF000000414 | 414.0
5565.0 | 1 | None | None | HCF000000415 | 415.0
5817.0 | 1 | None | None | HCF000000416 | 416.0
11821.0 | 1 | None | None | HCF000000417 | 417.0
18223.0 | 1 | None | None | HCF000000418 | 418.0
2455.0 | 1 | None | None | HCF000000419 | 419.0
3364.0 | 1 | None | None | HCF000000420 | 420.0
3428.0 | 1 | None | None | HCF000000421 | 421.0
9527.0 | 1 | None | None | HCF000000422 | 422.0
10781.0 | 1 | None | None | HCF000000423 | 423.0
13477.0 | 1 | None | None | HCF000000424 | 424.0
13814.0 | 1 | None | None | HCF000000425 | 425.0
16588.0 | 1 | None | None | HCF000000426 | 426.0
5644.0 | 1 | None | None | HCF000000427 | 427.0
12984.0 | 1 | None | None | HCF000000428 | 428.0
1308.0 | 1 | None | None | HCF000000429 | 429.0
2735.0 | 1 | None | None | HCF000000430 | 430.0
5528.0 | 1 | None | None | HCF000000431 | 431.0
8916.0 | 1 | None | None | HCF000000432 | 432.0
5694.0 | 1 | None | None | HCF000000433 | 433.0
10915.0 | 1 | None | None | HCF000000434 | 434.0
10978.0 | 1 | None | None | HCF000000436 | 436.0
11026.0 | 1 | None | None | HCF000000437 | 437.0
14848.0 | 1 | None | None | HCF000000438 | 438.0
17442.0 | 1 | None | None | HCF000000439 | 439.0
17559.0 | 1 | None | None | HCF000000440 | 440.0
5025.0 | 1 | None | None | HCF000000441 | 441.0
