id,cidade_fb,uf_resolvida
1003,Curitiba,PR
1004,Palmeira,PR
1005,Curitiba,PR
1006,Curitiba,PR
1007,Jaguariaíva,PR
1008,Ponta Grossa,PR
1009,Urubici,SC
1010,Urubici,SC
1011,Morretes,PR
1012,Morretes,PR
1013,Perdizes,MG
1014,Cerro Azul,PR
1015,Mateiros,TO
1016,Mateiros,TO
1017,Mateiros,TO
1018,Mateiros,TO
1019,Mateiros,TO
1020,Mateiros,TO
1021,Alvorada do Tocantins,TO
1022,Campo Mourão,PR
1023,Nova Esperança,PR
1024,Tuneiras do Oeste,PR
1025,Tuneiras do Oeste,PR
1026,Tuneiras do Oeste,PR
1027,Tibagi,PR
1028,Lábrea,AM
1029,Luiziana,PR
1030,Assis Chateaubriand,PR
1031,Colorado,PR
1032,Itaí,SP
1033,Itaí,SP
1034,Pinhalzinho,SC
1035,Umuarama,PR
1036,Chapada dos Guimarães,MT
1037,Campo Mourão,PR
1038,Japurá,PR
1039,América de Campos,SP
1040,Cascavel,PR
1041,Cândido de Abreu,PR
1042,Gaspar,SC
1043,Santa Helena,PR
1044,Cascavel,PR
1045,Apucarana,PR
1046,Paraguaçu Paulista,SP
1047,Campo Mourão,PR
1048,Centenário do Sul,PR
1049,Centenário do Sul,PR
1050,Centenário do Sul,PR
1051,Centenário do Sul,PR
1052,Peabiru,PR
1053,Peabiru,PR
1054,Arapongas,PR
1055,Sabáudia,PR
1056,Arapongas,PR
1057,Engenheiro Beltrão,PR
1058,Engenheiro Beltrão,PR
1059,Araruna,PR
1060,Araruna,PR
1061,Garuva,SC
1062,Barra Velha,SC
1063,Londrina,PR
1064,Sertaneja,PR
1065,Tibagi,PR
1066,Jundiaí,SP
1067,Iporanga,SP
1068,Castro,PR
1069,Reserva,PR
1070,Poconé,MT
1071,Curiúva,PR
1072,Tamarana,PR
1073,Sapopema,PR
1074,Iporanga,SP
1075,Arapongas,PR
1076,Bela Vista do Paraíso,PR
1077,Iporanga,SP
1078,Londrina,PR
1079,São Jerônimo da Serra,PR
1080,Londrina,PR
1081,Sapopema,PR
1082,Assaí,PR
